"short";"long";"mean";"sd";"min";"max"
"ИПА";"Индекс психомоторной активности";90;12;36;144
"ИИА";"Индекс интеллектуальной активности";90;12;36;144
"ИКА";"Индекс коммуникативной активности";90;12;36;144
"ИОА";"Индекс общей активности";270;36;108;432
"ИОЭ";"Индекс общей эмоциональности";90;12;36;144
"ИОАД";"Индекс общей адаптивности";180;48;-36;432
