"Активность";"Эмоциональность";"Тип";"Описание"
"Высокий";"Высокий";1;"холерик"
"Низкий";"Низкий";2;"флегматик"
"Высокий";"Низкий";3;"сангвиник"
"Низкий";"Высокий";4;"меланхолик"
"Средний";"Низкий";5;"смешанный низкоэмоциональный"
"Средний";"Высокий";6;"смешанный высокоэмоциональный"
"Высокий";"Средний";7;"смешанный высокоактивный"
"Низкий";"Средний";8;"смешанный низкоактивный"
"Средний";"Средний";9;"неопределенный"
